id_usuario,timestamp,grupo,pagina,converteu
847721,2024-01-17 14:01:00.090575,tratamento,pagina_com_cta,0
888545,2024-01-08 06:37:26.332945,controle,pagina_sem_cta,1
851104,2024-01-21 22:11:48.556739,tratamento,pagina_com_cta,0
804228,2024-01-12 08:01:45.159739,tratamento,pagina_com_cta,0
892356,2024-01-05 09:35:14.904865,controle,pagina_sem_cta,1
661590,2024-01-11 16:55:06.154213,controle,pagina_sem_cta,0
853541,2024-01-08 18:28:03.143765,controle,pagina_sem_cta,0
864975,2024-01-21 01:52:26.210827,tratamento,pagina_com_cta,1
936923,2024-01-10 15:20:49.083499,tratamento,pagina_com_cta,0
679687,2024-01-19 03:26:46.940749,controle,pagina_sem_cta,1
719014,2024-01-17 01:48:29.539573,tratamento,pagina_com_cta,0
817355,2024-01-04 17:58:08.979471,controle,pagina_sem_cta,1
839785,2024-01-15 18:11:06.610965,controle,pagina_sem_cta,1
929503,2024-01-18 05:37:11.527370,controle,pagina_sem_cta,0
834487,2024-01-21 22:37:47.774891,controle,pagina_sem_cta,0
803683,2024-01-09 06:05:16.222706,controle,pagina_sem_cta,0
944475,2024-01-22 01:31:09.573836,controle,pagina_sem_cta,0
718956,2024-01-22 11:45:11.327945,controle,pagina_sem_cta,0
644214,2024-01-22 02:05:21.719434,tratamento,pagina_com_cta,1
650559,2024-01-24 11:55:51.084801,tratamento,pagina_com_cta,0
935734,2024-01-17 20:33:37.428378,tratamento,pagina_com_cta,0
740805,2024-01-12 18:59:45.453277,controle,pagina_sem_cta,0
759875,2024-01-09 16:11:58.806110,controle,pagina_sem_cta,0
767017,2024-01-12 22:58:14.991443,tratamento,pagina_sem_cta,0
793849,2024-01-23 22:36:10.742811,controle,pagina_sem_cta,0
905617,2024-01-20 14:12:19.345499,controle,pagina_sem_cta,0
746742,2024-01-23 11:38:29.592148,tratamento,pagina_com_cta,0
773302,2024-01-12 08:29:49.810594,controle,pagina_sem_cta,0
913579,2024-01-24 09:11:39.164256,tratamento,pagina_com_cta,1
736159,2024-01-06 01:50:21.318242,controle,pagina_sem_cta,0
690284,2024-01-13 17:22:57.182769,tratamento,pagina_com_cta,0
826115,2024-01-05 11:27:16.756633,controle,pagina_sem_cta,0
875124,2024-01-05 15:39:25.439906,controle,pagina_sem_cta,1
931013,2024-01-07 03:23:57.932344,controle,pagina_sem_cta,0
710349,2024-01-11 22:24:44.226492,tratamento,pagina_com_cta,0
677533,2024-01-23 17:48:50.491821,tratamento,pagina_com_cta,0
831737,2024-01-11 21:18:20.911015,tratamento,pagina_com_cta,1
648583,2024-01-19 09:03:05.545308,controle,pagina_sem_cta,0
728086,2024-01-03 17:07:00.837852,controle,pagina_sem_cta,0
870163,2024-01-02 21:33:49.325594,controle,pagina_sem_cta,0
771087,2024-01-16 00:05:29.983919,tratamento,pagina_com_cta,0
739414,2024-01-03 13:25:55.139705,controle,pagina_sem_cta,0
896163,2024-01-22 09:10:20.753218,tratamento,pagina_com_cta,0
862225,2024-01-08 14:49:37.335432,tratamento,pagina_com_cta,1
939593,2024-01-05 09:15:31.984283,tratamento,pagina_com_cta,0
702260,2024-01-18 13:55:31.488221,tratamento,pagina_com_cta,0
943635,2024-01-22 13:37:39.722775,controle,pagina_sem_cta,0
800436,2024-01-20 07:47:47.224386,controle,pagina_sem_cta,0
698590,2024-01-23 11:51:59.925413,controle,pagina_sem_cta,0
830513,2024-01-12 00:50:01.470557,controle,pagina_sem_cta,0
670941,2024-01-05 08:16:41.306478,tratamento,pagina_com_cta,0
850231,2024-01-18 17:18:04.790584,tratamento,pagina_com_cta,1
916511,2024-01-22 06:20:04.691382,controle,pagina_sem_cta,0
897174,2024-01-17 02:03:25.962173,controle,pagina_sem_cta,0
906999,2024-01-22 19:16:44.715266,controle,pagina_sem_cta,0
685794,2024-01-20 14:54:58.150621,tratamento,pagina_com_cta,0
757313,2024-01-09 11:23:17.561607,controle,pagina_sem_cta,0
714733,2024-01-03 08:22:37.904146,tratamento,pagina_com_cta,0
710967,2024-01-10 02:19:22.842142,tratamento,pagina_com_cta,0
680201,2024-01-11 10:38:45.952887,tratamento,pagina_com_cta,0
790863,2024-01-19 11:02:39.220320,tratamento,pagina_com_cta,0
717595,2024-01-23 18:19:08.148166,tratamento,pagina_com_cta,0
779854,2024-01-11 21:28:30.735359,tratamento,pagina_com_cta,0
916307,2024-01-19 17:27:38.676600,tratamento,pagina_com_cta,0
731611,2024-01-24 01:29:50.630283,tratamento,pagina_com_cta,0
742910,2024-01-07 11:15:45.087156,controle,pagina_sem_cta,0
897656,2024-01-08 08:57:54.769617,tratamento,pagina_com_cta,0
834137,2024-01-24 12:20:07.638063,tratamento,pagina_com_cta,1
791703,2024-01-05 20:15:02.407978,tratamento,pagina_com_cta,0
850190,2024-01-10 04:55:19.405999,tratamento,pagina_com_cta,0
812235,2024-01-11 08:48:42.056666,tratamento,pagina_com_cta,0
729613,2024-01-12 09:09:56.782231,tratamento,pagina_com_cta,0
817936,2024-01-03 20:00:34.440787,controle,pagina_sem_cta,0
776669,2024-01-15 11:44:47.122086,controle,pagina_sem_cta,0
640693,2024-01-19 20:22:19.970560,controle,pagina_sem_cta,0
781060,2024-01-13 06:23:14.698210,controle,pagina_sem_cta,0
827414,2024-01-10 04:37:21.834018,tratamento,pagina_com_cta,0
689369,2024-01-07 19:27:21.810206,tratamento,pagina_com_cta,0
741853,2024-01-22 11:25:53.339703,tratamento,pagina_com_cta,0
819394,2024-01-07 09:27:23.256430,controle,pagina_sem_cta,0
696202,2024-01-14 11:50:10.441615,tratamento,pagina_com_cta,1
637366,2024-01-22 20:01:42.460468,controle,pagina_sem_cta,0
836770,2024-01-17 03:11:37.304372,controle,pagina_sem_cta,0
696678,2024-01-18 23:25:56.616734,tratamento,pagina_com_cta,0
778778,2024-01-03 19:34:48.755147,tratamento,pagina_com_cta,0
945236,2024-01-14 18:28:25.566921,controle,pagina_sem_cta,0
764145,2024-01-04 00:18:25.219608,controle,pagina_sem_cta,0
782624,2024-01-20 23:14:16.743551,controle,pagina_sem_cta,0
792499,2024-01-07 02:30:53.422520,controle,pagina_sem_cta,1
832316,2024-01-18 16:58:44.742092,tratamento,pagina_com_cta,1
911824,2024-01-19 10:21:46.027492,tratamento,pagina_com_cta,0
668255,2024-01-17 09:12:26.992601,tratamento,pagina_com_cta,0
800421,2024-01-07 06:18:50.639016,controle,pagina_sem_cta,0
738570,2024-01-16 07:34:33.155620,tratamento,pagina_com_cta,0
909364,2024-01-24 01:25:24.453824,tratamento,pagina_com_cta,0
636946,2024-01-17 19:50:47.085491,tratamento,pagina_com_cta,0
894540,2024-01-04 03:38:35.794542,controle,pagina_sem_cta,0
939580,2024-01-09 08:23:14.945700,tratamento,pagina_com_cta,0
698331,2024-01-22 21:14:30.175017,tratamento,pagina_com_cta,0
631524,2024-01-10 07:08:26.627109,controle,pagina_sem_cta,0
820916,2024-01-07 22:02:13.029908,tratamento,pagina_com_cta,0
887581,2024-01-21 18:21:07.916208,tratamento,pagina_com_cta,0
742392,2024-01-16 20:17:02.701927,tratamento,pagina_com_cta,0
659648,2024-01-17 14:52:18.612689,tratamento,pagina_com_cta,0
734232,2024-01-06 11:25:15.928549,controle,pagina_sem_cta,0
802440,2024-01-23 21:42:15.124685,controle,pagina_sem_cta,0
800982,2024-01-13 18:37:56.692974,controle,pagina_sem_cta,1
757160,2024-01-23 19:27:19.187404,tratamento,pagina_com_cta,0
650929,2024-01-09 04:21:07.986573,controle,pagina_sem_cta,0
757812,2024-01-20 19:57:02.598584,tratamento,pagina_com_cta,0
773860,2024-01-10 11:04:13.354438,controle,pagina_sem_cta,0
744902,2024-01-18 10:43:18.841634,controle,pagina_sem_cta,0
684929,2024-01-12 07:34:35.865307,controle,pagina_sem_cta,0
868502,2024-01-20 21:17:37.120529,controle,pagina_sem_cta,1
647522,2024-01-05 02:09:16.207640,tratamento,pagina_com_cta,0
665159,2024-01-17 01:19:02.887829,tratamento,pagina_com_cta,0
721847,2024-01-10 13:10:20.369701,tratamento,pagina_com_cta,0
704513,2024-01-20 08:42:33.420608,controle,pagina_sem_cta,1
675405,2024-01-02 18:36:16.537971,tratamento,pagina_com_cta,0
926415,2024-01-11 13:36:20.372138,controle,pagina_sem_cta,0
919227,2024-01-06 08:13:43.112208,tratamento,pagina_com_cta,0
730785,2024-01-09 05:04:20.841761,tratamento,pagina_com_cta,0
879953,2024-01-17 06:03:27.799318,tratamento,pagina_com_cta,0
706463,2024-01-18 00:12:14.454595,controle,pagina_sem_cta,0
770912,2024-01-09 15:51:02.503427,controle,pagina_sem_cta,0
888539,2024-01-11 07:16:10.316593,tratamento,pagina_com_cta,0
903977,2024-01-06 18:48:00.977241,controle,pagina_sem_cta,1
920254,2024-01-23 00:40:30.728885,controle,pagina_sem_cta,0
761924,2024-01-11 09:50:40.605810,tratamento,pagina_com_cta,0
684529,2024-01-13 14:50:31.103763,controle,pagina_sem_cta,0
778727,2024-01-07 14:41:54.436157,controle,pagina_sem_cta,0
721615,2024-01-19 09:26:50.535235,tratamento,pagina_com_cta,0
796510,2024-01-15 00:14:42.365867,tratamento,pagina_com_cta,0
871947,2024-01-15 09:20:30.642029,tratamento,pagina_com_cta,0
809512,2024-01-15 22:56:18.935602,tratamento,pagina_com_cta,0
732099,2024-01-23 19:55:46.763472,controle,pagina_sem_cta,1
769648,2024-01-09 19:43:39.891976,controle,pagina_sem_cta,0
658404,2024-01-20 09:24:33.761802,controle,pagina_sem_cta,0
652015,2024-01-03 04:59:59.853514,controle,pagina_sem_cta,1
896902,2024-01-06 01:33:19.271173,controle,pagina_sem_cta,0
798294,2024-01-18 04:05:34.087233,controle,pagina_sem_cta,0
738778,2024-01-23 15:40:38.859046,tratamento,pagina_com_cta,0
938283,2024-01-11 13:46:14.361746,tratamento,pagina_com_cta,1
932725,2024-01-13 08:11:33.057811,controle,pagina_sem_cta,0
686611,2024-01-05 08:54:58.845685,tratamento,pagina_com_cta,0
857251,2024-01-14 15:28:49.816813,tratamento,pagina_com_cta,1
771871,2024-01-09 13:20:09.148080,tratamento,pagina_com_cta,0
887171,2024-01-11 14:53:00.627386,controle,pagina_sem_cta,0
919633,2024-01-18 12:04:31.089462,controle,pagina_sem_cta,0
803036,2024-01-18 16:11:42.188776,controle,pagina_sem_cta,1
820420,2024-01-10 15:29:56.856836,tratamento,pagina_com_cta,0
941969,2024-01-23 04:39:08.500954,controle,pagina_sem_cta,0
884825,2024-01-09 00:16:52.524156,controle,pagina_sem_cta,0
726740,2024-01-07 20:39:32.059992,tratamento,pagina_com_cta,0
850887,2024-01-19 09:22:19.287661,tratamento,pagina_com_cta,0
916494,2024-01-22 18:31:27.469039,tratamento,pagina_com_cta,0
804852,2024-01-16 03:30:12.854733,tratamento,pagina_com_cta,0
718429,2024-01-08 03:27:23.327870,tratamento,pagina_com_cta,0
888569,2024-01-19 05:26:33.016830,controle,pagina_sem_cta,0
640327,2024-01-08 14:13:35.742414,controle,pagina_sem_cta,0
676448,2024-01-12 06:10:50.611813,controle,pagina_sem_cta,0
874669,2024-01-19 15:28:49.367517,tratamento,pagina_com_cta,0
662835,2024-01-19 04:01:27.178633,tratamento,pagina_com_cta,0
689445,2024-01-05 02:34:48.154924,controle,pagina_sem_cta,0
631625,2024-01-05 23:29:53.745686,tratamento,pagina_com_cta,0
916276,2024-01-08 22:18:32.977546,tratamento,pagina_com_cta,1
810925,2024-01-16 12:21:52.622601,controle,pagina_sem_cta,0
678160,2024-01-18 09:02:10.711673,controle,pagina_sem_cta,1
686917,2024-01-14 13:21:32.344730,tratamento,pagina_com_cta,0
714092,2024-01-04 22:23:36.095670,controle,pagina_sem_cta,0
